Label,IPLength,IPHeaderLength,TTL,           Protocol,SourcePort,DestPort,SequenceNumber,AckNumber           ,WindowSize,TCPHeaderLength,TCPLength,TCPStream     ,TCPUrgentPointer,IPFlags,IPID,IPchecksum,TCPflags,TCPChecksum
Aria,69,20,64,6,41529,80,1,1,9660,20,29,9,0,0x00000000,0x0000c318,0x0000f8d3,0x00000018,0x00008259
Aria,157,20,64,6,41529,80,30,1,9660,20,117,9,0,0x00000000,0x0000c319,0x0000f87a,0x00000018,0x0000520d
Aria,88,20,64,6,41529,80,147,1,9660,20,48,9,0,0x00000000,0x0000c31a,0x0000f8be,0x00000018,0x0000dddd
Aria,40,20,64,6,41529,80,195,726,8935,20,0,9,0,0x00000000,0x0000c31b,0x0000f8ed,0x00000019,0x0000f3d0
Aria,40,20,64,6,41529,80,196,727,8934,20,0,9,0,0x00000000,0x0000c31c,0x0000f8ec,0x00000010,0x0000f3d8
Aria,60,20,64,6,62997,80,0,0,8688,40,0,10,0,0x00000000,0x0000cb18,0x0000f1dc,0x00000002,0x00005b73
Aria,40,20,64,6,62997,80,1,1,9660,20,0,10,0,0x00000000,0x0000cb19,0x0000f1ef,0x00000010,0x00000d4f
Aria,136,20,64,6,62997,80,1,1,9660,20,96,10,0,0x00000000,0x0000cb1a,0x0000f18e,0x00000018,0x0000023d
Aria,64,20,64,6,62997,80,97,1,9660,20,24,10,0,0x00000000,0x0000cb1b,0x0000f1d5,0x00000018,0x00002c00
Aria,123,20,64,6,62997,80,121,606,9055,20,83,10,0,0x00000000,0x0000cb1c,0x0000f199,0x00000018,0x00007b36
Aria,64,20,64,6,62997,80,204,606,9055,20,24,10,0,0x00000000,0x0000cb1d,0x0000f1d3,0x00000018,0x00002b95
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,10,0,0x00000000,0x0000cb1e,0x0000f1ea,0x00000019,0x00000c63
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,10,0,0x00000000,0x0000cb1f,0x0000f1e9,0x00000010,0x00000c6b
Aria,60,20,64,6,33635,80,0,0,8688,40,0,11,0,0x00000000,0x0000cb20,0x0000f1d4,0x00000002,0x00006838
Aria,40,20,64,6,33635,80,1,1,9660,20,0,11,0,0x00000000,0x0000cb21,0x0000f1e7,0x00000010,0x0000ae7b
Aria,69,20,64,6,33635,80,1,1,9660,20,29,11,0,0x00000000,0x0000cb22,0x0000f1c9,0x00000018,0x00003c39
Aria,157,20,64,6,33635,80,30,1,9660,20,117,11,0,0x00000000,0x0000cb23,0x0000f170,0x00000018,0x00000bed
Aria,88,20,64,6,33635,80,147,1,9660,20,48,11,0,0x00000000,0x0000cb24,0x0000f1b4,0x00000018,0x0000c3cf
Aria,40,20,64,6,33635,80,195,726,8935,20,0,11,0,0x00000000,0x0000cb25,0x0000f1e3,0x00000019,0x0000adb0
Aria,40,20,64,6,33635,80,196,727,8934,20,0,11,0,0x00000000,0x0000cb26,0x0000f1e2,0x00000010,0x0000adb8
Aria,60,20,64,6,62997,80,0,0,8688,40,0,12,0,0x00000000,0x0000c312,0x0000f9e2,0x00000002,0x00008c8c
Aria,40,20,64,6,62997,80,1,1,9660,20,0,12,0,0x00000000,0x0000c313,0x0000f9f5,0x00000010,0x0000b886
Aria,136,20,64,6,62997,80,1,1,9660,20,96,12,0,0x00000000,0x0000c314,0x0000f994,0x00000018,0x00002185
Aria,64,20,64,6,62997,80,97,1,9660,20,24,12,0,0x00000000,0x0000c315,0x0000f9db,0x00000018,0x0000d737
Aria,123,20,64,6,62997,80,121,606,9055,20,83,12,0,0x00000000,0x0000c316,0x0000f99f,0x00000018,0x00009a7e
Aria,64,20,64,6,62997,80,204,606,9055,20,24,12,0,0x00000000,0x0000c317,0x0000f9d9,0x00000018,0x0000d6cc
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,12,0,0x00000000,0x0000c318,0x0000f9f0,0x00000019,0x0000b79a
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,12,0,0x00000000,0x0000c319,0x0000f9ef,0x00000010,0x0000b7a2
Aria,60,20,64,6,47471,80,0,0,8688,40,0,13,0,0x00000000,0x0000c31a,0x0000f9da,0x00000002,0x000048cb
Aria,40,20,64,6,47471,80,1,1,9660,20,0,13,0,0x00000000,0x0000c31b,0x0000f9ed,0x00000010,0x00005fac
Aria,69,20,64,6,47471,80,1,1,9660,20,29,13,0,0x00000000,0x0000c31c,0x0000f9cf,0x00000018,0x0000ed69
Aria,157,20,64,6,47471,80,30,1,9660,20,117,13,0,0x00000000,0x0000c31d,0x0000f976,0x00000018,0x0000bd1d
Aria,88,20,64,6,47471,80,147,1,9660,20,48,13,0,0x00000000,0x0000c31e,0x0000f9ba,0x00000018,0x00001b23
Aria,40,20,64,6,47471,80,195,726,8935,20,0,13,0,0x00000000,0x0000c31f,0x0000f9e9,0x00000019,0x00005ee1
Aria,40,20,64,6,47471,80,196,727,8934,20,0,13,0,0x00000000,0x0000c320,0x0000f9e8,0x00000010,0x00005ee9
Aria,60,20,64,6,62997,80,0,0,8688,40,0,14,0,0x00000000,0x0000c30e,0x0000f9e6,0x00000002,0x000043fb
Aria,40,20,64,6,62997,80,1,1,9660,20,0,14,0,0x00000000,0x0000c30f,0x0000f9f9,0x00000010,0x0000b2bb
Aria,136,20,64,6,62997,80,1,1,9660,20,96,14,0,0x00000000,0x0000c310,0x0000f998,0x00000018,0x00009202
Aria,64,20,64,6,62997,80,97,1,9660,20,24,14,0,0x00000000,0x0000c311,0x0000f9df,0x00000018,0x0000d16c
Aria,123,20,64,6,62997,80,121,606,9055,20,83,14,0,0x00000000,0x0000c312,0x0000f9a3,0x00000018,0x00000afc
Aria,64,20,64,6,62997,80,204,606,9055,20,24,14,0,0x00000000,0x0000c313,0x0000f9dd,0x00000018,0x0000d101
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,14,0,0x00000000,0x0000c314,0x0000f9f4,0x00000019,0x0000b1cf
Aria,60,20,64,6,63063,80,0,0,8688,40,0,15,0,0x00000000,0x0000c315,0x0000f9df,0x00000002,0x000093e4
Aria,40,20,64,6,63063,80,1,1,9660,20,0,15,0,0x00000000,0x0000c316,0x0000f9f2,0x00000010,0x00009d60
Aria,69,20,64,6,63063,80,1,1,9660,20,29,15,0,0x00000000,0x0000c317,0x0000f9d4,0x00000018,0x00002b1e
Aria,60,20,64,6,63063,80,30,1,9660,20,20,15,0,0x00000000,0x0000c318,0x0000f9dc,0x00000018,0x00006710
Aria,137,20,64,6,63063,80,50,1,9660,20,97,15,0,0x00000000,0x0000c319,0x0000f98e,0x00000018,0x000030e9
Aria,88,20,64,6,63063,80,147,1,9660,20,48,15,0,0x00000000,0x0000c31a,0x0000f9be,0x00000018,0x00006bc4
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,14,0,0x00000000,0x0000c31b,0x0000f9ed,0x00000010,0x0000b1d7
Aria,40,20,64,6,63063,80,195,726,8935,20,0,15,0,0x00000000,0x0000c31c,0x0000f9ec,0x00000019,0x00009c95
Aria,40,20,64,6,63063,80,196,727,8934,20,0,15,0,0x00000000,0x0000c31d,0x0000f9eb,0x00000010,0x00009c9d
Aria,60,20,64,6,62997,80,0,0,8688,40,0,16,0,0x00000000,0x0000c311,0x0000f9e3,0x00000002,0x0000c1df
Aria,40,20,64,6,62997,80,1,1,9660,20,0,16,0,0x00000000,0x0000c312,0x0000f9f6,0x00000010,0x00009bc9
Aria,136,20,64,6,62997,80,1,1,9660,20,96,16,0,0x00000000,0x0000c313,0x0000f995,0x00000018,0x0000e816
Aria,64,20,64,6,62997,80,97,1,9660,20,24,16,0,0x00000000,0x0000c314,0x0000f9dc,0x00000018,0x0000ba7a
Aria,123,20,64,6,62997,80,121,606,9055,20,83,16,0,0x00000000,0x0000c315,0x0000f9a0,0x00000018,0x00006110
Aria,64,20,64,6,62997,80,204,606,9055,20,24,16,0,0x00000000,0x0000c316,0x0000f9da,0x00000018,0x0000ba0f
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,16,0,0x00000000,0x0000c317,0x0000f9f1,0x00000019,0x00009add
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,16,0,0x00000000,0x0000c318,0x0000f9f0,0x00000010,0x00009ae5
Aria,60,20,64,6,44980,80,0,0,8688,40,0,17,0,0x00000000,0x0000c319,0x0000f9db,0x00000002,0x0000efc4
Aria,40,20,64,6,44980,80,1,1,9660,20,0,17,0,0x00000000,0x0000c31a,0x0000f9ee,0x00000010,0x0000fca4
Aria,69,20,64,6,44980,80,1,1,9660,20,29,17,0,0x00000000,0x0000c31b,0x0000f9d0,0x00000018,0x00008a62
Aria,157,20,64,6,44980,80,30,1,9660,20,117,17,0,0x00000000,0x0000c31c,0x0000f977,0x00000018,0x00005a16
Aria,88,20,64,6,44980,80,147,1,9660,20,48,17,0,0x00000000,0x0000c31d,0x0000f9bb,0x00000018,0x00009975
Aria,40,20,64,6,44980,80,195,726,8935,20,0,17,0,0x00000000,0x0000c31e,0x0000f9ea,0x00000019,0x0000fbd9
Aria,40,20,64,6,44980,80,196,727,8934,20,0,17,0,0x00000000,0x0000c31f,0x0000f9e9,0x00000010,0x0000fbe1
Aria,60,20,64,6,62997,80,0,0,8688,40,0,18,0,0x00000000,0x0000c2fd,0x0000f9f7,0x00000002,0x0000dd0b
Aria,40,20,64,6,62997,80,1,1,9660,20,0,18,0,0x00000000,0x0000c2fe,0x0000fa0a,0x00000010,0x000036bb
Aria,136,20,64,6,62997,80,1,1,9660,20,96,18,0,0x00000000,0x0000c2ff,0x0000f9a9,0x00000018,0x0000538d
Aria,64,20,64,6,62997,80,97,1,9660,20,24,18,0,0x00000000,0x0000c300,0x0000f9f0,0x00000018,0x0000556c
Aria,123,20,64,6,62997,80,121,606,9055,20,83,18,0,0x00000000,0x0000c301,0x0000f9b4,0x00000018,0x0000cc86
Aria,64,20,64,6,62997,80,204,606,9055,20,24,18,0,0x00000000,0x0000c302,0x0000f9ee,0x00000018,0x00005501
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,18,0,0x00000000,0x0000c303,0x0000fa05,0x00000019,0x000035cf
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,18,0,0x00000000,0x0000c304,0x0000fa04,0x00000010,0x000035d7
Aria,60,20,64,6,64978,80,0,0,8688,40,0,19,0,0x00000000,0x0000c305,0x0000f9ef,0x00000002,0x0000bbc7
Aria,40,20,64,6,64978,80,1,1,9660,20,0,19,0,0x00000000,0x0000c306,0x0000fa02,0x00000010,0x0000716b
Aria,69,20,64,6,64978,80,1,1,9660,20,29,19,0,0x00000000,0x0000c307,0x0000f9e4,0x00000018,0x0000ff28
Aria,157,20,64,6,64978,80,30,1,9660,20,117,19,0,0x00000000,0x0000c308,0x0000f98b,0x00000018,0x0000cedc
Aria,88,20,64,6,64978,80,147,1,9660,20,48,19,0,0x00000000,0x0000c309,0x0000f9cf,0x00000018,0x0000b35c
Aria,40,20,64,6,64978,80,195,726,8935,20,0,19,0,0x00000000,0x0000c30a,0x0000f9fe,0x00000019,0x000070a0
Aria,40,20,64,6,64978,80,196,727,8934,20,0,19,0,0x00000000,0x0000c30b,0x0000f9fd,0x00000010,0x000070a8
Aria,60,20,64,6,62997,80,0,0,8688,40,0,20,0,0x00000000,0x0000c30f,0x0000f8e5,0x00000002,0x0000565d
Aria,40,20,64,6,62997,80,1,1,9660,20,0,20,0,0x00000000,0x0000c310,0x0000f8f8,0x00000010,0x0000e150
Aria,136,20,64,6,62997,80,1,1,9660,20,96,20,0,0x00000000,0x0000c311,0x0000f897,0x00000018,0x0000675f
Aria,64,20,64,6,62997,80,97,1,9660,20,24,20,0,0x00000000,0x0000c312,0x0000f8de,0x00000018,0x00000002
Aria,123,20,64,6,62997,80,121,606,9055,20,83,20,0,0x00000000,0x0000c313,0x0000f8a2,0x00000018,0x0000e058
Aria,64,20,64,6,62997,80,204,606,9055,20,24,20,0,0x00000000,0x0000c314,0x0000f8dc,0x00000018,0x0000ff96
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,20,0,0x00000000,0x0000c315,0x0000f8f3,0x00000019,0x0000e064
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,20,0,0x00000000,0x0000c316,0x0000f8f2,0x00000010,0x0000e06c
Aria,60,20,64,6,49944,80,0,0,8688,40,0,21,0,0x00000000,0x0000c317,0x0000f8dd,0x00000002,0x0000a85a
Aria,40,20,64,6,49944,80,1,1,9660,20,0,21,0,0x00000000,0x0000c318,0x0000f8f0,0x00000010,0x0000821e
Aria,69,20,64,6,49944,80,1,1,9660,20,29,21,0,0x00000000,0x0000c319,0x0000f8d2,0x00000018,0x00000fdc
Aria,157,20,64,6,49944,80,30,1,9660,20,117,21,0,0x00000000,0x0000c31a,0x0000f879,0x00000018,0x0000df8f
Aria,88,20,64,6,49944,80,147,1,9660,20,48,21,0,0x00000000,0x0000c31b,0x0000f8bd,0x00000018,0x0000f215
Aria,40,20,64,6,49944,80,195,726,8935,20,0,21,0,0x00000000,0x0000c31c,0x0000f8ec,0x00000019,0x00008153
Aria,40,20,64,6,49944,80,196,727,8934,20,0,21,0,0x00000000,0x0000c31d,0x0000f8eb,0x00000010,0x0000815b
Aria,60,20,64,6,62997,80,0,0,8688,40,0,22,0,0x00000000,0x0000c313,0x0000f9e1,0x00000002,0x0000ebca
Aria,40,20,64,6,62997,80,1,1,9660,20,0,22,0,0x00000000,0x0000c314,0x0000f9f4,0x00000010,0x0000a2bc
Aria,136,20,64,6,62997,80,1,1,9660,20,96,22,0,0x00000000,0x0000c315,0x0000f993,0x00000018,0x0000c60c
Aria,64,20,64,6,62997,80,97,1,9660,20,24,22,0,0x00000000,0x0000c316,0x0000f9da,0x00000018,0x0000c16d
Aria,123,20,64,6,62997,80,121,606,9055,20,83,22,0,0x00000000,0x0000c317,0x0000f99e,0x00000018,0x00003f06
Aria,64,20,64,6,62997,80,204,606,9055,20,24,22,0,0x00000000,0x0000c318,0x0000f9d8,0x00000018,0x0000c102
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,22,0,0x00000000,0x0000c319,0x0000f9ef,0x00000019,0x0000a1d0
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,22,0,0x00000000,0x0000c31a,0x0000f9ee,0x00000010,0x0000a1d8
Aria,60,20,64,6,53235,80,0,0,8688,40,0,23,0,0x00000000,0x0000c31b,0x0000f9d9,0x00000002,0x0000d942
Aria,40,20,64,6,53235,80,1,1,9660,20,0,23,0,0x00000000,0x0000c31c,0x0000f9ec,0x00000010,0x00000fb9
Aria,69,20,64,6,53235,80,1,1,9660,20,29,23,0,0x00000000,0x0000c31d,0x0000f9ce,0x00000018,0x00009d76
Aria,157,20,64,6,53235,80,30,1,9660,20,117,23,0,0x00000000,0x0000c31e,0x0000f975,0x00000018,0x00006d2a
Aria,88,20,64,6,53235,80,147,1,9660,20,48,23,0,0x00000000,0x0000c31f,0x0000f9b9,0x00000018,0x0000989d
Aria,40,20,64,6,53235,80,195,726,8935,20,0,23,0,0x00000000,0x0000c320,0x0000f9e8,0x00000019,0x00000eee
Aria,40,20,64,6,53235,80,196,727,8934,20,0,23,0,0x00000000,0x0000c321,0x0000f9e7,0x00000010,0x00000ef6
Aria,60,20,64,6,62997,80,0,0,8688,40,0,24,0,0x00000000,0x0000c315,0x0000f9df,0x00000002,0x0000ebda
Aria,40,20,64,6,62997,80,1,1,9660,20,0,24,0,0x00000000,0x0000c316,0x0000f9f2,0x00000010,0x00003e32
Aria,136,20,64,6,62997,80,1,1,9660,20,96,24,0,0x00000000,0x0000c317,0x0000f991,0x00000018,0x000008e3
Aria,64,20,64,6,62997,80,97,1,9660,20,24,24,0,0x00000000,0x0000c318,0x0000f9d8,0x00000018,0x00005ce3
Aria,123,20,64,6,62997,80,121,606,9055,20,83,24,0,0x00000000,0x0000c319,0x0000f99c,0x00000018,0x000081dc
Aria,64,20,64,6,62997,80,204,606,9055,20,24,24,0,0x00000000,0x0000c31a,0x0000f9d6,0x00000018,0x00005c78
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,24,0,0x00000000,0x0000c31b,0x0000f9ed,0x00000019,0x00003d46
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,24,0,0x00000000,0x0000c31c,0x0000f9ec,0x00000010,0x00003d4e
Aria,60,20,64,6,45572,80,0,0,8688,40,0,25,0,0x00000000,0x0000c31d,0x0000f9d7,0x00000002,0x0000e6b3
Aria,40,20,64,6,45572,80,1,1,9660,20,0,25,0,0x00000000,0x0000c31e,0x0000f9ea,0x00000010,0x0000116c
Aria,69,20,64,6,45572,80,1,1,9660,20,29,25,0,0x00000000,0x0000c31f,0x0000f9cc,0x00000018,0x00009f29
Aria,157,20,64,6,45572,80,30,1,9660,20,117,25,0,0x00000000,0x0000c320,0x0000f973,0x00000018,0x00006edd
Aria,88,20,64,6,45572,80,147,1,9660,20,48,25,0,0x00000000,0x0000c321,0x0000f9b7,0x00000018,0x0000479a
Aria,40,20,64,6,45572,80,195,726,8935,20,0,25,0,0x00000000,0x0000c322,0x0000f9e6,0x00000019,0x000010a1
Aria,40,20,64,6,45572,80,196,727,8934,20,0,25,0,0x00000000,0x0000c323,0x0000f9e5,0x00000010,0x000010a9
Aria,60,20,64,6,62997,80,0,0,8688,40,0,26,0,0x00000000,0x0000c312,0x0000f8e2,0x00000002,0x0000b25b
Aria,40,20,64,6,62997,80,1,1,9660,20,0,26,0,0x00000000,0x0000c313,0x0000f8f5,0x00000010,0x00001f39
Aria,136,20,64,6,62997,80,1,1,9660,20,96,26,0,0x00000000,0x0000c314,0x0000f894,0x00000018,0x00004d87
Aria,64,20,64,6,62997,80,97,1,9660,20,24,26,0,0x00000000,0x0000c315,0x0000f8db,0x00000018,0x00003dea
Aria,123,20,64,6,62997,80,121,606,9055,20,83,26,0,0x00000000,0x0000c316,0x0000f89f,0x00000018,0x0000c680
Aria,64,20,64,6,62997,80,204,606,9055,20,24,26,0,0x00000000,0x0000c317,0x0000f8d9,0x00000018,0x00003d7f
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,26,0,0x00000000,0x0000c318,0x0000f8f0,0x00000019,0x00001e4d
